#Header: Date:15/06/2023 16:02:01; freq_file_name: StringFreqCorpus.csv; tokenFreqPckg-version: V1.0; Num of Keys: 1087140
WORD,FREQ,FREQ_LOG
את,23730,53.75
של,20357,53.09
לא,14550,51.63,
על,13470,51.29,
הוא,8853,49.47,
זה,6244,47.95,
היה,5426,47.34,
היא,5195,47.16,
אני,4967,46.96,
כל,4715,46.73,
עם,4666,46.69,
אבל,4509,46.54,
גם,4373,46.41,
מה,3922,45.94,
או,3508,45.45,
כי,3275,45.15,
לי,3056,44.85,
כך,3031,44.82,
אל,2997,44.77,
לו,2922,44.66,
יותר,2895,44.62,
אם,2751,44.39,
אותו,2705,44.32,
הם,2677,44.28,
רק,2626,44.19,
כמו,2595,44.14,
יש,2587,44.13,
אחד,2299,43.62,
עד,2295,43.61,
שלו,2028,43.07,
היו,1998,43.01,
בין,1959,42.92,
כדי,1916,42.82,
כבר,1899,42.79,
היתה,1889,42.76,
אמר,1852,42.68,
עוד,1779,42.5,
שלא,1734,42.39,
לה,1732,42.39,
אתה,1643,42.16,
אין,1623,42.1,
אותה,1613,42.08,
שלי,1609,42.07,
שם,1587,42.01,
שהוא,1529,41.84,
לפני,1523,41.83,
זאת,1485,41.72,
כמה,1472,41.68,
הזה,1458,41.64,
אחר,1442,41.59,
אך,1407,41.48,
זו,1405,41.48,
בו,1405,41.48,
ולא,1387,41.42,
אחרי,1274,41.05,
אז,1273,41.05,
ב,1266,41.02,
אחת,1256,40.99,
פעם,1224,40.88,
מאוד,1224,40.88,
אף,1223,40.87,
שלה,1192,40.76,
בכל,1190,40.76,
לך,1180,40.72,
דבר,1150,40.61,
אותי,1140,40.57,
מי,1129,40.53,
להיות,1117,40.48,
מן,1114,40.47,
ישראל,1105,40.43,
אלא,1104,40.43,
עכשיו,1033,40.14,
היום,1023,40.1,
איך,1016,40.07,
כן,1002,40.01,
יכול,999,40,
ה,999,40,
להם,997,39.99,
אותם,997,39.99,
שאני,964,39.84,
ביותר,951,39.78,
בבית,935,39.71,
אולי,931,39.69,
אלה,927,39.67,
יום,917,39.62,
שנים,917,39.62,
בית,902,39.55,
בן,899,39.54,
לאחר,892,39.5,
משהו,878,39.43,
אפילו,871,39.4,
טוב,866,39.38,
אפשר,861,39.35,
שהיא,851,39.3,
שני,849,39.29,
רוצה,839,39.24,
והוא,835,39.22,
לנו,833,39.21,
בה,829,39.19,
ואני,829,39.19,
הרבה,823,39.15,
אומר,822,39.15,
אמרה,816,39.12,
אנחנו,806,39.06,
אנשים,804,39.05,
הייתי,792,38.99,
כאן,784,38.94,
וגם,776,38.9,
תמיד,758,38.8,
אדם,755,38.78,
צריך,752,38.76,
האם,743,38.71,
שוב,743,38.71,
זמן,738,38.68,
לעשות,733,38.65,
שלנו,722,38.59,
כאילו,721,38.58,
בלי,715,38.54,
עליו,709,38.51,
יודע,704,38.48,
כמעט,702,38.46,
בני,697,38.43,
מדי,697,38.43,
שלהם,689,38.38,
הן,676,38.3,
ידי,673,38.28,
ואת,672,38.27,
שנה,664,38.22,
למה,658,38.18,
עצמו,657,38.18,
נראה,656,38.17,
ממש,654,38.16,
יהיה,653,38.15,
שיש,650,38.13,
עדיין,639,38.06,
רבים,637,38.04,
שלך,625,37.96,
שום,625,37.96,
פי,622,37.94,
הזאת,619,37.92,
שהיה,612,37.87,
שבו,612,37.87,
הבית,611,37.86,
ראש,610,37.85,
לכל,607,37.83,
גדול,606,37.82,
בתוך,593,37.73,
האלה,593,37.73,
כאשר,580,37.63,
הראשון,579,37.63,
אחרים,579,37.63,
קצת,577,37.61,
חיים,570,37.56,
שהם,562,37.5,
קשה,562,37.5,
אינו,555,37.44,
איש,555,37.44,
אמא,546,37.37,
החיים,537,37.3,
דרך,536,37.29,
הזמן,535,37.28,
שזה,535,37.28,
בדיוק,534,37.28,
בגלל,533,37.27,
מספר,528,37.23,
אבא,527,37.22,
הספר,526,37.21,
ל,526,37.21,
כלל,524,37.19,
ואז,523,37.19,
בדרך,520,37.16,
במקום,515,37.12,
בהם,508,37.06,
אשר,505,37.03,
מהם,503,37.02,
העולם,503,37.02,
לראות,502,37.01,
